country,year,variable,preceding_value,current_value,following_value,classification,action,decision_rule,authoritative_replacement_source
Libya,2012,bmi,6.9,61.8,62.8,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Turkey,2009,bmi,6.2,61.1,61.9,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Jordan,2010,bmi,6.9,61.7,62.4,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
United States of America,2002,bmi,6.9,61.7,62.4,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Ireland,2013,bmi,6.5,61.3,62.1,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Bahrain,2012,bmi,6.8,61.5,62.2,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Greece,2006,bmi,6.5,61.2,61.8,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Mexico,2012,bmi,6.8,61.5,62.1,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Mauritius,2011,gdp,8.376432,9197.26972,9291.227619,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Iceland,2012,gdp,46.217,44333.8518,4781.3888,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Italy,2002,gdp,24.819,22196.5736,27387.2258,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Romania,2015,gdp,12.27733,8958.788593,,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Qatar,2008,gdp,675.61258,82967.37228,61478.23813,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Kazakhstan,2011,gdp,97.649972,11634.42422,12387.18982,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
New Zealand,2010,gdp,282.94193,33691.34837,38426.5581,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Qatar,2011,gdp,736.22784,85948.746,88564.82298,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Israel,2008,gdp,258.637,29657.4421,27795.87671,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Turkey,2005,gdp,64.72953,7384.354661,834.869161,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Algeria,2006,gdp,31.122378,3464.6179,3935.183343,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Russian Federation,2002,gdp,21.362386,2375.5944,2975.132778,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Maldives,2008,gdp,52.862285,5828.621374,597.1659,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Swaziland,2004,gdp,22.99449,2529.633557,2873.862141,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
France,2008,gdp,416.58397,45413.6571,41631.13141,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Norway,2010,gdp,817.77681,87646.75346,1574.9861,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Maldives,2003,gdp,32.37239,3432.247841,3853.33348,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Austria,2007,gdp,443.99361,46586.6525,51386.37665,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Lebanon,2010,gdp,84.268878,8763.826274,8734.9653,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Belarus,2011,gdp,63.38877,6519.71753,694.243915,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Hungary,2011,population,123.0,9971727.0,992362.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Ethiopia,2008,population,8149.0,83184892.0,85416253.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Iraq,2015,population,3568.0,36115649.0,,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Maldives,2015,population,41.0,49163.0,,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Benin,2005,population,7754.0,7982225.0,8216896.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Cameroon,2009,population,18978.0,19432541.0,1997495.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Burundi,2001,population,6476.0,6555829.0,6741569.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Turkmenistan,2003,population,4612.0,4655741.0,473398.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Peru,2010,population,29157.0,29373646.0,29759989.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Nicaragua,2002,population,5175.0,5171734.0,524879.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Bosnia and Herzegovina,2008,population,3774.0,3763599.0,3746561.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Mali,2013,population,16667.0,16477818.0,16962846.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Uruguay,2014,population,3485.0,3419546.0,3431552.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Pakistan,2005,population,15783.0,15399667.0,15793993.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Syrian Arab Republic,2015,population,19239.0,18734987.0,,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Turkey,2009,population,74432.0,71339185.0,72326914.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Tajikistan,2007,population,7557.0,7152385.0,739728.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Germany,2015,population,89825.0,81686611.0,,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Bhutan,2009,population,795.0,714458.0,727641.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Chad,2006,population,1679.0,1421597.0,177578.0,unresolved,retained_and_flagged,"Large scale change may reflect a transcription, unit, or coverage issue; retain and flag pending source verification.",none
Pakistan,2007,thinness_1_19_years,21.0,2.8,2.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Pakistan,2012,thinness_1_19_years,2.0,19.8,19.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Afghanistan,2002,thinness_1_19_years,2.1,19.9,19.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Bangladesh,2005,thinness_1_19_years,2.1,19.9,19.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
South Africa,2006,thinness_1_19_years,11.6,1.6,9.7,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Namibia,2009,thinness_1_19_years,11.5,1.9,1.4,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Botswana,2003,thinness_1_19_years,11.4,1.9,1.5,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Lesotho,2002,thinness_1_19_years,11.1,1.6,1.2,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Zimbabwe,2001,thinness_1_19_years,11.0,1.6,1.2,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Burkina Faso,2003,thinness_1_19_years,11.0,1.7,1.5,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Niger,2010,thinness_1_19_years,11.0,1.7,1.5,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Nigeria,2012,thinness_1_19_years,11.0,1.7,1.4,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Democratic Republic of the Congo,2008,thinness_1_19_years,11.1,1.8,1.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Chad,2003,thinness_1_19_years,11.1,1.9,1.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Mali,2001,thinness_1_19_years,11.0,1.8,1.5,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Senegal,2008,thinness_1_19_years,11.0,1.8,1.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Timor-Leste,2014,thinness_1_19_years,11.1,1.9,1.9,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Cambodia,2014,thinness_1_19_years,11.0,1.9,1.9,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Ethiopia,2011,thinness_1_19_years,11.0,1.9,1.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Indonesia,2003,thinness_1_19_years,11.0,1.9,1.9,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Bangladesh,2003,thinness_5_9_years,21.1,2.9,2.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Pakistan,2009,thinness_5_9_years,21.1,2.9,2.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Pakistan,2014,thinness_5_9_years,2.0,19.8,19.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Bangladesh,2008,thinness_5_9_years,2.1,19.9,19.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Afghanistan,2003,thinness_5_9_years,2.2,19.9,19.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
South Africa,2008,thinness_5_9_years,11.7,1.7,9.8,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Botswana,2003,thinness_5_9_years,11.3,1.8,1.4,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Lesotho,2002,thinness_5_9_years,11.1,1.6,1.1,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Namibia,2009,thinness_5_9_years,11.4,1.9,1.4,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Zimbabwe,2001,thinness_5_9_years,11.2,1.7,1.3,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Burkina Faso,2001,thinness_5_9_years,11.1,1.8,1.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Nigeria,2011,thinness_5_9_years,11.2,1.9,1.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Chad,2003,thinness_5_9_years,11.0,1.8,1.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Democratic Republic of the Congo,2007,thinness_5_9_years,11.1,1.9,1.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Niger,2009,thinness_5_9_years,11.0,1.8,1.6,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Senegal,2007,thinness_5_9_years,11.1,1.9,1.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Cambodia,2015,thinness_5_9_years,11.0,1.9,,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Ethiopia,2008,thinness_5_9_years,11.0,1.9,1.8,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Indonesia,2004,thinness_5_9_years,11.0,1.9,1.9,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Eritrea,2002,thinness_5_9_years,1.0,9.9,9.7,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
